,Positive Emotion,Assent,Positive sentiment calculated by VADER,Negative sentiment calculated by VADER,Negative Emotion,Anxiety,Anger,Sad,Dissent
Social,0.0008491539596937618,0.0012532416981541462,0.024088797598356672,-0.006510117824977984,9.035761055505931e-05,0.0005040791623442662,0.00012522312684670934,0.07317636772797177,0.00025511278281412715
Family,0.006711420546463082,0.001229216232562283,0.0410341354224958,0.133057134862898,0.0005043346263166139,0.0034470671160383324,0.0010093356946146651,0.08241206615201727,0.0002693724485927072
Friends,0.013582105659381503,0.0015626761810169565,0.06850547193067608,-0.0008187166174878328,0.0013940836077573743,0.007539802047327125,0.0014810675328950351,0.10720788718760423,0.0005550547045121646
Humans,0.03039642209358419,0.0020727551256381287,0.09814260873662821,0.19672702087550425,0.003123576604496936,0.01608402001685634,0.004060383821807529,0.11719026328325391,0.00124560089599095
Feel,0.005056681467601463,0.0010445945276435053,0.039582399445780334,0.008494427238273445,0.00045711361445264104,0.002911094712246822,0.0006159656470652985,0.07477374677808168,0.00022613894249182986
Body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sexual,0.002447998673562583,0.0002197802197802198,0.03144,0.13451600000000002,0.0,0.0007686017686017684,0.00027588813303099015,0.0978868160474786,0.005662871986401399
Work,0.003430012769259347,0.001167504645333241,0.032267076015041314,0.17419616354895331,0.0002442256107009776,0.0012397547934118456,0.0011760091737525904,0.10437333706890489,0.00024370803450662017
Achievement,0.003400459214771182,0.0009368329805544074,0.02821465492019112,0.1339786938005894,0.00037695223340954604,0.0015657529473926243,0.0005362147901725059,0.07840464130955078,0.00027648339247673146
Home,0.004231631570719757,0.001445764055351241,0.041683850889655545,0.14664628915499467,0.0004634737262510367,0.0015607201558774661,0.0009036689101457667,0.0981479046296904,0.0003277271921908733
Death,0.0014422133662470378,0.005158324367663786,0.03570575916230367,0.1613072251308899,2.4961715762984307e-05,0.0006305384434664564,0.00020872590012902074,0.07237250749412463,0.006082906321488834
Money,0.006834097130198567,0.0019012081262733578,0.04926308485329105,0.009155273592386937,0.000674710652551749,0.003952724173358454,0.0007092871885640609,0.1002177891798076,0.00037745002657677457
Religion,0.005619344314192137,0.0014557713698334063,0.17929213483146045,-0.3449303370786489,0.0001511935819102413,0.004176579660301248,0.0007041222715308995,0.07445742213468111,0.0005397289725831341
