,Positive Emotion,Assent,Positive sentiment calculated by VADER,Negative sentiment calculated by VADER,Negative Emotion,Anxiety,Anger,Sad,Dissent
Social,0.0054641646945278,0.0015071251923254973,0.0370388198757764,0.0973076863354037,0.0007204193383400871,0.002387202529152798,0.0010095798954755542,0.09584982933344637,0.00041973134486461116
Family,0.001983505597168987,0.001134453981921477,0.021284608770421317,0.15425855546001715,0.0002109685393375761,0.0008746761957942374,0.00032216437348351067,0.05555765111871285,9.796159248955096e-05
Friends,0.0059118820237216785,0.0013348574538169292,0.04106663637740415,0.16279954566106264,0.0007224306223750036,0.0026344373144036965,0.0007598914149197867,0.11410094460752253,0.000573900306329997
Humans,0.015296947119982432,0.0019323989198880387,0.06538989052933149,0.369275652980592,0.001928848997463025,0.0068439580786201935,0.00243044495039238,0.12988333488165102,0.0010937213111462565
Feel,0.0034630741913771954,0.0009497950416768867,0.026040632541348585,0.04156144126822118,0.00038512132490359723,0.0017501129757489658,0.000489773132334074,0.06254899674123203,0.0002451192905679424
Body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sexual,0.004651980063434968,0.0012457588494454855,0.036571428571428574,0.5920428571428572,0.0009216589861751152,0.0027450063164348873,0.0009853147608249648,0.12567112379488946,0.0028926100354671786
Work,0.0051501854925910685,0.001617745772842207,0.033377212487769974,0.44280043582673584,0.0005581614003591469,0.001617716088833126,0.001387521607891117,0.11763019534615535,0.0004981503174916937
Achievement,0.004497449928838094,0.0011058558561847158,0.027564276679315245,0.3859152719525996,0.0005407774650048486,0.001843465068592905,0.0008569720211330559,0.08928237213343804,0.00048108435093218577
Home,0.005462712776126079,0.001687709137844027,0.036479740871613216,0.4243731330977609,0.0007445648474736456,0.0015842148242097252,0.0011750819398388193,0.10974783314002877,0.0006604994042046937
Death,0.0025048553870392607,0.014917632490125073,0.02592,0.4593848888888887,0.00023457694082995763,0.0007912280834232519,0.0008957637252744055,0.10236610001787542,0.0008426434523880916
Money,0.006926527430411425,0.0017747930610762731,0.04011805841217637,-0.030261744138214218,0.0006525411115457274,0.003432704725021291,0.0010121857630163826,0.07647212531350743,0.0003922825143558496
Religion,0.0063182798230378865,0.0008215936558252906,0.12650718685831616,-0.6667876796714587,0.0005105397861394139,0.003965534104411271,0.0006976445855230673,0.04473859519782871,0.002774873807756173
